"ID","タイトル","巻・号","著者","発行者","発行年","県","市町村","旧市町村","flag","lat","lon"
"https://iss.ndl.go.jp/books/R100000002-I030718209-00","鴻巣の石造物","鴻巣・笠原地区","鴻巣市","埼玉県鴻巣市",2003,"埼玉県","鴻巣市",,0,36.065868,139.522003
"https://iss.ndl.go.jp/books/R100000002-I000004059620-00","金光町の神社石造物 : 拓本編",,"坂本, 寅明, 1933-","金光拓本の会",2003,"岡山県","浅口市","浅口郡金光町",0,34.542648,133.62381
"https://iss.ndl.go.jp/books/R100000002-I000004119013-00","鎌倉の石仏・宝塔",,"三浦, 勝男, 1937-","鎌倉市教育委員会",2003,"神奈川県","鎌倉市",,0,35.319592,139.547134
"https://iss.ndl.go.jp/books/R100000002-I000004125375-00","閏戸の石造物",,"蓮田市教育委員会","蓮田市教育委員会",2003,"埼玉県","蓮田市",,0,35.99416,139.662735
"https://iss.ndl.go.jp/books/R100000002-I000004145197-00","伊奈の石仏・石塔 : 伊奈町金石文調査報告書","下","伊奈町教育委員会 (茨城県)","伊奈町教育委員会",2003,"茨城県","つくばみらい市","筑波郡伊奈町",0,35.96431,140.035416
"https://iss.ndl.go.jp/books/R100000002-I000004165395-00","嵐山町の石造物",1,"嵐山町教育委員会 (埼玉県)","嵐山町教育委員会",2003,"埼玉県","比企郡嵐山町",,0,36.05645,139.320297
"https://iss.ndl.go.jp/books/R100000002-I000004174938-00","埼玉の中世石塔",,"埼玉県立歴史資料館","埼玉県立歴史資料館",2003,"埼玉県",,,0,35.857182,139.650787
"https://iss.ndl.go.jp/books/R100000002-I000004181939-00","愛知県東海市内石仏地蔵をたずねて",,"中根, 富三郎, 1930-","文芸社",2003,"愛知県","東海市",,1,35.022701,136.901672
"https://iss.ndl.go.jp/books/R100000002-I000004194168-00","南佐久石造文化財集成 : 南牧村・川上村",,"岡村, 知彦, 1943-","岡村知彦",2003,"長野県",,,1,36.65086,138.182922
"https://iss.ndl.go.jp/books/R100000002-I000004226274-00","郷土の石造文化財",,"三和町文化財保護委員会","三和町教育委員会",2003,"広島県","神石郡神石高原町","神石郡三和町",0,34.712799,133.256363
"https://iss.ndl.go.jp/books/R100000002-I000004238090-00","野の神野の仏 : 広神の石仏",,"山之内, 喜七, 1937-","広神村教育委員会",2003,"新潟県","魚沼市","北魚沼郡広神村",0,37.25618,138.976822
"https://iss.ndl.go.jp/books/R100000002-I000004247811-00","武蔵町の石造物",,"清原, 京一, 1917-","武蔵町石造物調査会",2003,"大分県","国東市","東国東郡武蔵町",1,33.50013,131.721695
"https://iss.ndl.go.jp/books/R100000002-I000004271952-00","吹田の石造物","神社編","吹田市立博物館","吹田市教育委員会",2003,"大阪府","吹田市",,0,34.759331,135.516739
"https://iss.ndl.go.jp/books/R100000002-I000004292105-00","敏満寺の謎を解く : 伝承する彫像と城塞・石仏群",,"多賀町教育委員会 (滋賀県)","サンライズ出版",2003,"滋賀県","犬上郡多賀町",,1,35.211441,136.298904
"https://iss.ndl.go.jp/books/R100000002-I000004294809-00","江戸・東京石仏ウォーキング",,"日本石仏協会","ごま書房",2003,"東京都",,,1,35.689499,139.691635
"https://iss.ndl.go.jp/books/R100000002-I000004367379-00","福光町の石碑",,"福光あけぼの会","福光あけぼの会",2003,"富山県","南砺市","西礪波郡福光町",1,36.55727,136.875473
"https://iss.ndl.go.jp/books/R100000002-I000007522351-00","新編高崎市史","資料編 13 [2] (近世石造物 墓石編)","高崎市","高崎市",2003,"群馬県","高崎市",,0,36.322472,139.00206
"https://iss.ndl.go.jp/books/R100000002-I000007522482-00","新編高崎市史","資料編 13 (近世石造物 信仰編)","高崎市","高崎市",2003,"群馬県","高崎市",,0,36.322472,139.00206
"https://iss.ndl.go.jp/books/R100000002-I000007700372-00","清水市石造文化財調査報告書",2003,"清水市教育委員会","静岡県清水市教育委員会",2003,"静岡県","静岡市","清水市",0,34.975208,138.383331
"https://iss.ndl.go.jp/books/R100000002-I000008545293-00","藤戸地区及び美観地区周辺の石造物",,"倉敷市文化財総合調査委員会","倉敷市教育委員会",2003,"岡山県","倉敷市",,0,34.584679,133.771759
"https://iss.ndl.go.jp/books/R100000002-I000009385053-00","鏡野町の石造物",,"鏡野町文化財保護委員会","鏡野町教育委員会",2003,"岡山県","苫田郡鏡野町",,0,35.09156,133.931686
"https://iss.ndl.go.jp/books/R100000002-I024166527-00","石に刻まれた人びとの願い : 三和の石仏と仏塔",,"桑原, 久","三和村",2004,"新潟県","上越市","中頸城郡三和村",0,37.126122,138.354156
"https://iss.ndl.go.jp/books/R100000002-I029662354-00","小出の石仏 : 込められた祈りと願い",,"小出の石仏に親しむ会","小出町教育委員会",2004,"新潟県","魚沼市","北魚沼郡小出町",0,37.23032,138.960846
"https://iss.ndl.go.jp/books/R100000002-I030004002-00","那須の石仏","芦野編","那須町那須歴史探訪館 (栃木県)","那須町教育委員会",2004,"栃木県","那須郡那須町",,0,37.018742,140.118668
"https://iss.ndl.go.jp/books/R100000002-I000007320250-00","東京石佛ウォーク",2,,"多摩野佛研究会",2004,"東京都",,,1,35.689499,139.691635
